"filename", "language", "JavaScript", "JavaScript React", "CSS", "Properties", "Markdown", "JSON", "pyscript", "comment", "blank", "total"
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain1C.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain1D.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain2A.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain2B.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain2C.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain2D.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 11, 53
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain3A.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 12, 54
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain3B.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 8, 50
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain3C.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain3D.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain4A.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain4B.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 8, 50
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain4C.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain4D.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\Complain5B.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\ComplainG1.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Complains\ComplainG2.jsx", "JavaScript React", 0, 42, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Dash.jsx", "JavaScript React", 0, 15, 0, 0, 0, 0, 0, 2, 2, 19
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Dashboard.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Details\Caretaker.jsx", "JavaScript React", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Details\Rents.jsx", "JavaScript React", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Details\Users.jsx", "JavaScript React", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Details\table.css", "CSS", 0, 0, 37, 0, 0, 0, 0, 0, 6, 43
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Edit.jsx", "JavaScript React", 0, 127, 0, 0, 0, 0, 0, 6, 30, 163
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Error.jsx", "JavaScript React", 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Expenses.jsx", "JavaScript React", 0, 97, 0, 0, 0, 0, 0, 11, 39, 147
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Home.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 8, 20, 65
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Login.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 19, 17, 158
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Main.jsx", "JavaScript React", 0, 162, 0, 0, 0, 0, 0, 18, 32, 212
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Message.jsx", "JavaScript React", 0, 60, 0, 0, 0, 0, 0, 15, 18, 93
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Message2.jsx", "JavaScript React", 0, 62, 0, 0, 0, 0, 0, 14, 20, 96
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\MileProjects.jsx", "JavaScript React", 0, 37, 0, 0, 0, 0, 0, 0, 11, 48
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\NotFound.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Notice.jsx", "JavaScript React", 0, 100, 0, 0, 0, 0, 0, 21, 42, 163
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\PDF.jsx", "JavaScript React", 0, 40, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\PdfCreate.jsx", "JavaScript React", 0, 66, 0, 0, 0, 0, 0, 0, 6, 72
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Profile.jsx", "JavaScript React", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Projects.jsx", "JavaScript React", 0, 19, 0, 0, 0, 0, 0, 7, 5, 31
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Register.js", "JavaScript", 164, 0, 0, 0, 0, 0, 0, 0, 8, 172
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Rent.jsx", "JavaScript React", 0, 143, 0, 0, 0, 0, 0, 29, 59, 231
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Rento.jsx", "JavaScript React", 0, 40, 0, 0, 0, 0, 0, 3, 8, 51
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Responses.jsx", "JavaScript React", 0, 79, 0, 0, 0, 0, 0, 0, 37, 116
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Services\Services1A.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Services\Services1B.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Services\Services1C.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Services\Services1D.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Services\Services2A.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Services\Services2B.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Services\Services2C.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Services\Services2D.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Services\Services3A.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Services\Services3B.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Services\Services3C.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Services\Services3D.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Services\Services4A.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Services\Services4B.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Services\Services4C.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Services\Services4D.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Services\Services5B.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Services\ServicesG1.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\Services\ServicesG2.jsx", "JavaScript React", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\SingleProject.jsx", "JavaScript React", 0, 31, 0, 0, 0, 0, 0, 13, 14, 58
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\StudentProjectCreate.jsx", "JavaScript React", 0, 110, 0, 0, 0, 0, 0, 23, 40, 173
"c:\Users\ADMIN\Desktop\silvet\tenant-management-system-new-\src\pages\StudentsProjects.jsx", "JavaScript React", 0, 104, 0, 0, 0, 0, 0, 21, 44, 169
